#,선수명,팀명,경기,타석,타수,안타,홈런,득점,타점,볼넷,삼진,도루,BABIP,타율,출루율,장타율,OPS,Woba,WAR
1,홍창기,LG,144,651,524,172,4,103,52,109,95,23,0.393,0.328,0.456,0.408,0.864,0.412,7.1
2,이정후,Hero,123,544,464,167,7,78,84,62,37,10,0.373,0.36,0.438,0.522,0.96,0.429,7.06
3,강백호,KT,142,628,516,179,16,76,102,104,85,10,0.385,0.347,0.451,0.521,0.972,0.434,6.97
4,최정,SSG,134,555,436,121,35,92,100,84,102,8,0.277,0.278,0.41,0.562,0.972,0.425,6.83
5,양의지,NC,141,570,480,156,30,81,111,69,60,2,0.315,0.325,0.414,0.581,0.995,0.432,6.48
6,알테어,NC,143,565,492,134,32,83,84,57,156,20,0.331,0.272,0.358,0.514,0.872,0.384,4.89
7,전준우,롯데,144,619,552,192,7,88,92,53,71,6,0.384,0.348,0.405,0.469,0.874,0.395,4.86
8,구자욱,삼성,139,610,543,166,22,107,88,48,98,27,0.331,0.306,0.361,0.519,0.88,0.382,4.48
9,정은원,한화,139,608,495,140,6,85,39,105,105,19,0.346,0.283,0.407,0.384,0.791,0.376,4.41
10,추신수,SSG,137,580,461,122,21,84,69,103,123,25,0.315,0.265,0.409,0.451,0.86,0.396,4.3
11,김재환*,두산,137,566,475,130,27,86,102,81,127,2,0.316,0.274,0.382,0.501,0.883,0.393,4.26
12,박건우,두산,126,525,458,149,6,82,63,50,72,13,0.37,0.325,0.4,0.441,0.841,0.384,4.24
13,최재훈,한화,116,467,375,103,7,52,44,72,68,3,0.317,0.275,0.405,0.387,0.792,0.376,4.15
14,한유섬,SSG,135,519,442,123,31,71,95,60,96,1,0.287,0.278,0.373,0.534,0.907,0.396,4.14
15,강민호,삼성,123,462,406,118,18,55,67,45,53,0,0.292,0.291,0.361,0.478,0.839,0.37,4.09
16,김혜성,Hero,144,635,559,170,3,99,66,65,97,46,0.356,0.304,0.372,0.367,0.739,0.343,4
17,노시환,한화,107,458,380,103,18,56,84,73,107,5,0.328,0.271,0.386,0.466,0.852,0.38,3.56
18,안치홍,롯데,119,490,421,129,10,58,82,52,59,3,0.33,0.306,0.379,0.458,0.837,0.376,3.51
19,한동희,롯데,129,496,424,113,17,54,69,61,95,0,0.304,0.267,0.364,0.443,0.807,0.366,3.32
20,김선빈,KIA,130,564,501,154,5,55,67,56,39,0,0.323,0.307,0.375,0.401,0.776,0.357,3.29
21,나성범,NC,144,623,570,160,33,96,101,38,155,1,0.329,0.281,0.335,0.509,0.844,0.368,3.19
22,박성한,SSG,135,471,407,123,4,53,44,49,73,12,0.358,0.302,0.377,0.388,0.765,0.357,3.18
23,피렐라,삼성,140,621,553,158,29,102,97,57,89,9,0.295,0.286,0.359,0.495,0.854,0.378,3.16
24,박해민,삼성,127,542,454,132,5,78,54,69,82,36,0.34,0.291,0.383,0.377,0.76,0.356,3.11
25,손아섭,롯데,139,610,542,173,3,88,58,61,67,11,0.359,0.319,0.39,0.397,0.787,0.365,3.05
26,페르난데스,두산,141,617,540,170,15,73,81,65,35,0,0.313,0.315,0.391,0.443,0.834,0.379,3.03
27,정훈,롯데,135,561,486,142,14,70,79,68,89,8,0.332,0.292,0.38,0.438,0.818,0.369,2.87
28,박동원,Hero,131,481,413,103,22,61,83,53,114,2,0.289,0.249,0.342,0.46,0.802,0.36,2.84
29,이용규,Hero,133,547,459,136,1,88,43,71,47,17,0.324,0.296,0.392,0.373,0.765,0.36,2.82
30,노진혁,NC,107,384,330,95,8,41,58,42,90,1,0.37,0.288,0.374,0.427,0.801,0.367,2.82
31,김현수,LG,140,595,506,144,17,70,96,77,42,3,0.279,0.285,0.376,0.435,0.811,0.367,2.78
32,오재일,삼성,120,484,418,119,25,64,97,58,106,1,0.319,0.285,0.366,0.512,0.878,0.38,2.77
33,하주석,한화,138,594,525,143,10,84,68,51,135,23,0.347,0.272,0.346,0.392,0.738,0.339,2.67
34,최원준,KIA,143,668,589,174,4,82,44,61,68,40,0.327,0.295,0.37,0.368,0.738,0.347,2.56
35,배정대,KT,144,595,510,132,12,85,68,65,132,19,0.323,0.259,0.353,0.378,0.731,0.34,2.55
36,황재균,KT,117,507,453,132,10,74,56,46,92,11,0.344,0.291,0.358,0.402,0.76,0.348,2.53
37,마차도,롯데,134,539,466,130,5,83,58,58,65,8,0.31,0.279,0.359,0.361,0.72,0.337,2.49
38,최주환,SSG,116,470,406,104,18,50,67,53,84,2,0.281,0.256,0.353,0.429,0.782,0.354,2.17
39,양석환,두산,133,546,488,133,28,66,96,42,136,2,0.317,0.273,0.337,0.49,0.827,0.362,2.06
40,채은성,LG,110,448,387,107,16,59,82,38,80,4,0.305,0.276,0.359,0.452,0.811,0.364,2.04
41,박계범,두산,118,385,322,86,5,44,46,44,68,4,0.321,0.267,0.368,0.357,0.725,0.344,1.88
42,장성우,KT,127,460,385,89,14,46,63,60,69,1,0.246,0.231,0.337,0.374,0.711,0.329,1.87
43,유한준,KT,103,337,282,87,5,30,42,44,34,1,0.332,0.309,0.409,0.418,0.827,0.381,1.86
